SurfaceIndex,Method,ExecutionTime,numberPoints
96,Compute Shader Z-Buffer,0.0006668,435172
96,Z-Buffer,0.0445977,435172
96,Direct Method,29.3391,435172
97,Compute Shader Z-Buffer,0.0005292,435172
97,Z-Buffer,0.0449189,435172
97,Direct Method,29.2521,435172
98,Compute Shader Z-Buffer,0.0007167,435172
98,Z-Buffer,0.0449532,435172
98,Direct Method,28.4645,435172
99,Compute Shader Z-Buffer,0.0005142,435172
99,Z-Buffer,0.0439764,435172
99,Direct Method,29.2237,435172
100,Compute Shader Z-Buffer,0.0005234,435172
100,Z-Buffer,0.0447485,435172
100,Direct Method,30.9381,435172
101,Compute Shader Z-Buffer,0.0004639,435172
101,Z-Buffer,0.0459309,435172
101,Direct Method,33.3209,435172
102,Compute Shader Z-Buffer,0.0004647,435172
102,Z-Buffer,0.0465928,435172
102,Direct Method,29.0304,435172
103,Compute Shader Z-Buffer,0.0005115,435172
103,Z-Buffer,0.0444568,435172
103,Direct Method,28.5766,435172
104,Compute Shader Z-Buffer,0.0005355,435172
104,Z-Buffer,0.0476877,435172
104,Direct Method,31.0465,435172
105,Compute Shader Z-Buffer,0.0007959,435172
105,Z-Buffer,0.0451112,435172
105,Direct Method,29.8824,435172
106,Compute Shader Z-Buffer,0.0006179,435172
106,Z-Buffer,0.0457489,435172
106,Direct Method,29.2059,435172
107,Compute Shader Z-Buffer,0.000684,435172
107,Z-Buffer,0.0454534,435172
107,Direct Method,26.8766,435172
108,Compute Shader Z-Buffer,0.000785,435172
108,Z-Buffer,0.0448855,435172
108,Direct Method,26.7987,435172
109,Compute Shader Z-Buffer,0.0005921,435172
109,Z-Buffer,0.0445785,435172
109,Direct Method,28.0092,435172
110,Compute Shader Z-Buffer,0.0006025,435172
110,Z-Buffer,0.0452148,435172
110,Direct Method,29.2564,435172
111,Compute Shader Z-Buffer,0.0007207,435172
111,Z-Buffer,0.0458732,435172
111,Direct Method,26.9248,435172
112,Compute Shader Z-Buffer,0.0005941,435172
112,Z-Buffer,0.043807,435172
112,Direct Method,28.1518,435172
113,Compute Shader Z-Buffer,0.0005271,435172
113,Z-Buffer,0.047265,435172
113,Direct Method,27.4318,435172
114,Compute Shader Z-Buffer,0.0005201,435172
114,Z-Buffer,0.0472739,435172
114,Direct Method,29.5449,435172
115,Compute Shader Z-Buffer,0.0004467,435172
115,Z-Buffer,0.0446075,435172
115,Direct Method,31.955,435172
116,Compute Shader Z-Buffer,0.0006565,435172
116,Z-Buffer,0.0446145,435172
116,Direct Method,27.837,435172
117,Compute Shader Z-Buffer,0.0005061,435172
117,Z-Buffer,0.0452348,435172
117,Direct Method,26.3355,435172
118,Compute Shader Z-Buffer,0.0004437,435172
118,Z-Buffer,0.043634,435172
118,Direct Method,28.3034,435172
119,Compute Shader Z-Buffer,0.0004393,435172
119,Z-Buffer,0.0460858,435172
119,Direct Method,29.0747,435172
120,Compute Shader Z-Buffer,0.0004968,435172
120,Z-Buffer,0.0456805,435172
120,Direct Method,28.668,435172
121,Compute Shader Z-Buffer,0.000714,435172
121,Z-Buffer,0.0444823,435172
121,Direct Method,29.502,435172
122,Compute Shader Z-Buffer,0.000674,435172
122,Z-Buffer,0.0538453,435172
122,Direct Method,28.7299,435172
123,Compute Shader Z-Buffer,0.000432,435172
123,Z-Buffer,0.0436262,435172
123,Direct Method,30.033,435172
124,Compute Shader Z-Buffer,0.0006909,435172
124,Z-Buffer,0.0443082,435172
124,Direct Method,27.4002,435172
125,Compute Shader Z-Buffer,0.0004367,435172
125,Z-Buffer,0.0449694,435172
125,Direct Method,27.7976,435172
126,Compute Shader Z-Buffer,0.0004936,435172
126,Z-Buffer,0.0438498,435172
126,Direct Method,31.04,435172
127,Compute Shader Z-Buffer,0.0008038,435172
127,Z-Buffer,0.0450262,435172
127,Direct Method,32.0133,435172
128,Compute Shader Z-Buffer,0.0006416,435172
128,Z-Buffer,0.044372,435172
128,Direct Method,32.2705,435172
129,Compute Shader Z-Buffer,0.0003895,435172
129,Z-Buffer,0.0441915,435172
129,Direct Method,30.3175,435172
130,Compute Shader Z-Buffer,0.0005278,435172
130,Z-Buffer,0.0459373,435172
130,Direct Method,26.6617,435172
131,Compute Shader Z-Buffer,0.0005606,435172
131,Z-Buffer,0.0460053,435172
131,Direct Method,32.6768,435172
132,Compute Shader Z-Buffer,0.0004854,435172
132,Z-Buffer,0.0492093,435172
132,Direct Method,31.6041,435172
133,Compute Shader Z-Buffer,0.0005197,435172
133,Z-Buffer,0.0442281,435172
133,Direct Method,31.3254,435172
134,Compute Shader Z-Buffer,0.0004964,435172
134,Z-Buffer,0.0446547,435172
134,Direct Method,30.8109,435172
135,Compute Shader Z-Buffer,0.0004983,435172
135,Z-Buffer,0.0452514,435172
135,Direct Method,28.711,435172
136,Compute Shader Z-Buffer,0.0005637,435172
136,Z-Buffer,0.0470551,435172
136,Direct Method,28.3521,435172
137,Compute Shader Z-Buffer,0.0005136,435172
137,Z-Buffer,0.0455907,435172
137,Direct Method,31.3781,435172
138,Compute Shader Z-Buffer,0.0006449,435172
138,Z-Buffer,0.0448539,435172
138,Direct Method,28.9137,435172
139,Compute Shader Z-Buffer,0.0004213,435172
139,Z-Buffer,0.0475726,435172
139,Direct Method,31.0578,435172
140,Compute Shader Z-Buffer,0.0004297,435172
140,Z-Buffer,0.0469443,435172
140,Direct Method,27.6381,435172
141,Compute Shader Z-Buffer,0.0004339,435172
141,Z-Buffer,0.045032,435172
141,Direct Method,29.5841,435172
142,Compute Shader Z-Buffer,0.0004797,435172
142,Z-Buffer,0.0455343,435172
142,Direct Method,30.7408,435172
143,Compute Shader Z-Buffer,0.0004682,435172
143,Z-Buffer,0.0462672,435172
143,Direct Method,29.4325,435172
144,Compute Shader Z-Buffer,0.0006091,435172
144,Z-Buffer,0.0442118,435172
144,Direct Method,27.3439,435172
145,Compute Shader Z-Buffer,0.0006695,435172
145,Z-Buffer,0.0444454,435172
145,Direct Method,29.9375,435172
146,Compute Shader Z-Buffer,0.0004914,435172
146,Z-Buffer,0.0436665,435172
146,Direct Method,29.6334,435172
147,Compute Shader Z-Buffer,0.0004062,435172
147,Z-Buffer,0.0433623,435172
147,Direct Method,28.1241,435172
148,Compute Shader Z-Buffer,0.0005595,435172
148,Z-Buffer,0.0459751,435172
148,Direct Method,30.8118,435172
149,Compute Shader Z-Buffer,0.0005089,435172
149,Z-Buffer,0.0454102,435172
149,Direct Method,31.4978,435172
150,Compute Shader Z-Buffer,0.0004826,435172
150,Z-Buffer,0.0486526,435172
150,Direct Method,27.9748,435172
151,Compute Shader Z-Buffer,0.000628,435172
151,Z-Buffer,0.0446329,435172
151,Direct Method,28.9074,435172
152,Compute Shader Z-Buffer,0.0006822,435172
152,Z-Buffer,0.04452,435172
152,Direct Method,27.2885,435172
153,Compute Shader Z-Buffer,0.0003962,435172
153,Z-Buffer,0.0443762,435172
153,Direct Method,28.9109,435172
154,Compute Shader Z-Buffer,0.0008365,435172
154,Z-Buffer,0.0450441,435172
154,Direct Method,35.9182,435172
155,Compute Shader Z-Buffer,0.0007027,435172
155,Z-Buffer,0.0488232,435172
155,Direct Method,27.9991,435172
156,Compute Shader Z-Buffer,0.0006858,435172
156,Z-Buffer,0.0453187,435172
156,Direct Method,32.4834,435172
157,Compute Shader Z-Buffer,0.0004678,435172
157,Z-Buffer,0.0536992,435172
157,Direct Method,40.8227,435172
158,Compute Shader Z-Buffer,0.0006011,435172
158,Z-Buffer,0.0795421,435172
158,Direct Method,29.3431,435172
159,Compute Shader Z-Buffer,0.000451,435172
159,Z-Buffer,0.0439891,435172
159,Direct Method,29.0862,435172
160,Compute Shader Z-Buffer,0.0007885,435172
160,Z-Buffer,0.0453702,435172
160,Direct Method,33.7742,435172
161,Compute Shader Z-Buffer,0.0005737,435172
161,Z-Buffer,0.0440147,435172
161,Direct Method,33.5393,435172
162,Compute Shader Z-Buffer,0.000448,435172
162,Z-Buffer,0.0458309,435172
162,Direct Method,28.8351,435172
163,Compute Shader Z-Buffer,0.0006443,435172
163,Z-Buffer,0.0448709,435172
163,Direct Method,31.2506,435172
164,Compute Shader Z-Buffer,0.0008118,435172
164,Z-Buffer,0.0462503,435172
164,Direct Method,28.0369,435172
165,Compute Shader Z-Buffer,0.0004194,435172
165,Z-Buffer,0.0455038,435172
165,Direct Method,30.2588,435172
166,Compute Shader Z-Buffer,0.0004702,435172
166,Z-Buffer,0.0450275,435172
166,Direct Method,30.8671,435172
167,Compute Shader Z-Buffer,0.0005802,435172
167,Z-Buffer,0.045148,435172
167,Direct Method,31.4754,435172
